10;3.61574053071053;_a0_;{'d0': {'_a0_': 0.21820757882894198, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 3.457390203779217};7.23148106142105;0.0
11;3.61574053071053;_a0_;{'d0': {'_a0_': 0.21820757882894198, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 3.457390203779217};7.23148106142105;0.0
12;3.61574053071053;_a0_;{'d0': {'_a0_': 0.21820757882894198, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 3.457390203779217};7.23148106142105;0.0
13;3.61574053071053;_a0_;{'d0': {'_a0_': 0.21820757882894198, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 3.457390203779217};7.23148106142105;0.0
14;3.61574053071053;_a0_;{'d0': {'_a0_': 0.21820757882894198, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 3.457390203779217};7.23148106142105;0.0
15;3.61574053071053;_a0_;{'d0': {'_a0_': 0.21820757882894198, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 3.457390203779217};7.23148106142105;0.0
16;3.61574053071053;_a0_;{'d0': {'_a0_': 0.21820757882894198, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 3.457390203779217};7.23148106142105;0.0
17;3.61574053071053;_a0_;{'d0': {'_a0_': 0.21820757882894198, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 3.457390203779217};7.23148106142105;0.0
18;3.61574053071053;_a0_;{'d0': {'_a0_': 0.21820757882894198, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 3.457390203779217};7.23148106142105;0.0
19;3.61574053071053;_a0_;{'d0': {'_a0_': 0.21820757882894198, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 3.457390203779217};7.23148106142105;0.0
20;3.61574053071053;_a0_;{'d0': {'_a0_': 0.21820757882894198, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 3.457390203779217};7.23148106142105;0.0
21;3.61574053071053;_a0_;{'d0': {'_a0_': 0.21820757882894198, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 3.457390203779217};7.23148106142105;0.0
22;3.61574053071053;_a0_;{'d0': {'_a0_': 0.21820757882894198, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 3.457390203779217};7.23148106142105;0.0
23;3.61574053071053;_a0_;{'d0': {'_a0_': 0.21820757882894198, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 3.457390203779217};7.23148106142105;0.0
24;3.61574053071053;_a0_;{'d0': {'_a0_': 0.21820757882894198, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 3.457390203779217};7.23148106142105;0.0
25;3.61574053071053;_a0_;{'d0': {'_a0_': 0.21820757882894198, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 3.457390203779217};7.23148106142105;0.0
26;3.61574053071053;_a0_;{'d0': {'_a0_': 0.21820757882894198, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 3.457390203779217};7.23148106142105;0.0
27;3.61574053071053;_a0_;{'d0': {'_a0_': 0.21820757882894198, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 3.457390203779217};7.23148106142105;0.0
28;3.61574053071053;_a0_;{'d0': {'_a0_': 0.21820757882894198, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 3.457390203779217};7.23148106142105;0.0
29;3.61574053071053;_a0_;{'d0': {'_a0_': 0.21820757882894198, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 3.457390203779217};7.23148106142105;0.0
30;3.61574053071053;_a0_;{'d0': {'_a0_': 0.21820757882894198, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 3.457390203779217};7.23148106142105;0.0
31;3.61574053071053;_a0_;{'d0': {'_a0_': 0.21820757882894198, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 3.457390203779217};7.23148106142105;0.0
32;3.61574053071053;_a0_;{'d0': {'_a0_': 0.21820757882894198, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 3.457390203779217};7.23148106142105;0.0
33;3.61574053071053;_a0_;{'d0': {'_a0_': 0.21820757882894198, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 3.457390203779217};7.23148106142105;0.0
34;3.61574053071053;_a0_;{'d0': {'_a0_': 0.21820757882894198, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 3.457390203779217};7.23148106142105;0.0
35;3.61574053071053;_a0_;{'d0': {'_a0_': 0.21820757882894198, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 3.457390203779217};7.23148106142105;0.0
36;3.61574053071053;_a0_;{'d0': {'_a0_': 0.21820757882894198, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 3.457390203779217};7.23148106142105;0.0
37;3.61574053071053;_a0_;{'d0': {'_a0_': 0.21820757882894198, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 3.457390203779217};7.23148106142105;0.0
38;3.61574053071053;_a0_;{'d0': {'_a0_': 0.21820757882894198, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 3.457390203779217};7.23148106142105;0.0
39;3.61574053071053;_a0_;{'d0': {'_a0_': 0.21820757882894198, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 3.457390203779217};7.23148106142105;0.0
40;3.61574053071053;_a0_;{'d0': {'_a0_': 0.21820757882894198, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 3.457390203779217};7.23148106142105;0.0
41;3.61574053071053;_a0_;{'d0': {'_a0_': 0.21820757882894198, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 3.457390203779217};7.23148106142105;0.0
42;3.61574053071053;_a0_;{'d0': {'_a0_': 0.21820757882894198, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 3.457390203779217};7.23148106142105;0.0
43;3.61574053071053;_a0_;{'d0': {'_a0_': 0.21820757882894198, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 3.457390203779217};7.23148106142105;0.0
44;3.61574053071053;_a0_;{'d0': {'_a0_': 0.21820757882894198, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 3.457390203779217};7.23148106142105;0.0
45;3.61574053071053;_a0_;{'d0': {'_a0_': 0.21820757882894198, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 3.457390203779217};7.23148106142105;0.0
46;3.61574053071053;_a0_;{'d0': {'_a0_': 0.21820757882894198, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 3.457390203779217};7.23148106142105;0.0
47;3.61574053071053;_a0_;{'d0': {'_a0_': 0.21820757882894198, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 3.457390203779217};7.23148106142105;0.0
48;3.61574053071053;_a0_;{'d0': {'_a0_': 0.21820757882894198, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 3.457390203779217};7.23148106142105;0.0
49;3.61574053071053;_a0_;{'d0': {'_a0_': 0.21820757882894198, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 3.457390203779217};7.23148106142105;0.0
50;3.61574053071053;_a0_;{'d0': {'_a0_': 0.21820757882894198, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 3.457390203779217};7.23148106142105;0.0
51;3.61574053071053;_a0_;{'d0': {'_a0_': 0.21820757882894198, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 3.457390203779217};7.23148106142105;0.0
52;3.61574053071053;_a0_;{'d0': {'_a0_': 0.21820757882894198, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 3.457390203779217};7.23148106142105;0.0
53;3.61574053071053;_a0_;{'d0': {'_a0_': 0.21820757882894198, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 3.457390203779217};7.23148106142105;0.0
54;3.61574053071053;_a0_;{'d0': {'_a0_': 0.21820757882894198, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 3.457390203779217};7.23148106142105;0.0
55;3.61574053071053;_a0_;{'d0': {'_a0_': 0.21820757882894198, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 3.457390203779217};7.23148106142105;0.0
56;3.61574053071053;_a0_;{'d0': {'_a0_': 0.21820757882894198, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 3.457390203779217};7.23148106142105;0.0
57;3.61574053071053;_a0_;{'d0': {'_a0_': 0.21820757882894198, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 3.457390203779217};7.23148106142105;0.0
58;3.61574053071053;_a0_;{'d0': {'_a0_': 0.21820757882894198, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 3.457390203779217};7.23148106142105;0.0
59;3.61574053071053;_a0_;{'d0': {'_a0_': 0.21820757882894198, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 3.457390203779217};7.23148106142105;0.0
60;3.61574053071053;_a0_;{'d0': {'_a0_': 0.21820757882894198, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 3.457390203779217};7.23148106142105;0.0
61;3.61574053071053;_a0_;{'d0': {'_a0_': 0.21820757882894198, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 3.457390203779217};7.23148106142105;0.0
62;3.61574053071053;_a0_;{'d0': {'_a0_': 0.21820757882894198, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 3.457390203779217};7.23148106142105;0.0
63;3.61574053071053;_a0_;{'d0': {'_a0_': 0.21820757882894198, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 3.457390203779217};7.23148106142105;0.0
64;3.61574053071053;_a0_;{'d0': {'_a0_': 0.21820757882894198, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 3.457390203779217};7.23148106142105;0.0
65;3.61574053071053;_a0_;{'d0': {'_a0_': 0.21820757882894198, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 3.457390203779217};7.23148106142105;0.0
66;3.61574053071053;_a0_;{'d0': {'_a0_': 0.21820757882894198, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 3.457390203779217};7.23148106142105;0.0
67;3.61574053071053;_a0_;{'d0': {'_a0_': 0.21820757882894198, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 3.457390203779217};7.23148106142105;0.0
68;3.61574053071053;_a0_;{'d0': {'_a0_': 0.21820757882894198, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 3.457390203779217};7.23148106142105;0.0
69;3.61574053071053;_a0_;{'d0': {'_a0_': 0.21820757882894198, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 3.457390203779217};7.23148106142105;0.0
70;3.61574053071053;_a0_;{'d0': {'_a0_': 0.21820757882894198, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 3.457390203779217};7.23148106142105;0.0
71;3.61574053071053;_a0_;{'d0': {'_a0_': 0.21820757882894198, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 3.457390203779217};7.23148106142105;0.0
72;3.61574053071053;_a0_;{'d0': {'_a0_': 0.21820757882894198, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 3.457390203779217};7.23148106142105;0.0
73;3.61574053071053;_a0_;{'d0': {'_a0_': 0.21820757882894198, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 3.457390203779217};7.23148106142105;0.0
74;3.61574053071053;_a0_;{'d0': {'_a0_': 0.21820757882894198, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 3.457390203779217};7.23148106142105;0.0
75;3.61574053071053;_a0_;{'d0': {'_a0_': 0.21820757882894198, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 3.457390203779217};7.23148106142105;0.0
76;3.61574053071053;_a0_;{'d0': {'_a0_': 0.21820757882894198, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 3.457390203779217};7.23148106142105;0.0
77;3.61574053071053;_a0_;{'d0': {'_a0_': 0.21820757882894198, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 3.457390203779217};7.23148106142105;0.0
78;3.61574053071053;_a0_;{'d0': {'_a0_': 0.21820757882894198, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 3.457390203779217};7.23148106142105;0.0
79;3.61574053071053;_a0_;{'d0': {'_a0_': 0.21820757882894198, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 3.457390203779217};7.23148106142105;0.0
80;3.61574053071053;_a0_;{'d0': {'_a0_': 0.21820757882894198, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 3.457390203779217};7.23148106142105;0.0
81;3.61574053071053;_a0_;{'d0': {'_a0_': 0.21820757882894198, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 3.457390203779217};7.23148106142105;0.0
82;3.61574053071053;_a0_;{'d0': {'_a0_': 0.21820757882894198, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 3.457390203779217};7.23148106142105;0.0
83;3.61574053071053;_a0_;{'d0': {'_a0_': 0.21820757882894198, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 3.457390203779217};7.23148106142105;0.0
84;3.61574053071053;_a0_;{'d0': {'_a0_': 0.21820757882894198, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 3.457390203779217};7.23148106142105;0.0
85;3.61574053071053;_a0_;{'d0': {'_a0_': 0.21820757882894198, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 3.457390203779217};7.23148106142105;0.0
86;3.61574053071053;_a0_;{'d0': {'_a0_': 0.21820757882894198, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 3.457390203779217};7.23148106142105;0.0
87;3.61574053071053;_a0_;{'d0': {'_a0_': 0.21820757882894198, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 3.457390203779217};7.23148106142105;0.0
88;3.61574053071053;_a0_;{'d0': {'_a0_': 0.21820757882894198, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 3.457390203779217};7.23148106142105;0.0
89;3.61574053071053;_a0_;{'d0': {'_a0_': 0.21820757882894198, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 3.457390203779217};7.23148106142105;0.0
90;3.61574053071053;_a0_;{'d0': {'_a0_': 0.21820757882894198, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 3.457390203779217};7.23148106142105;0.0
91;3.61574053071053;_a0_;{'d0': {'_a0_': 0.21820757882894198, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 3.457390203779217};7.23148106142105;0.0
92;3.61574053071053;_a0_;{'d0': {'_a0_': 0.21820757882894198, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 3.457390203779217};7.23148106142105;0.0
93;3.61574053071053;_a0_;{'d0': {'_a0_': 0.21820757882894198, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 3.457390203779217};7.23148106142105;0.0
94;3.61574053071053;_a0_;{'d0': {'_a0_': 0.21820757882894198, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 3.457390203779217};7.23148106142105;0.0
95;3.61574053071053;_a0_;{'d0': {'_a0_': 0.21820757882894198, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 3.457390203779217};7.23148106142105;0.0
96;3.61574053071053;_a0_;{'d0': {'_a0_': 0.21820757882894198, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 3.457390203779217};7.23148106142105;0.0
97;3.61574053071053;_a0_;{'d0': {'_a0_': 0.21820757882894198, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 3.457390203779217};7.23148106142105;0.0
98;3.61574053071053;_a0_;{'d0': {'_a0_': 0.21820757882894198, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 3.457390203779217};7.23148106142105;0.0
